,ts_code,trade_date,suspend_timing,suspend_type
0,600729.SH,20240206,,R
1,002931.SZ,20240206,,R
0,870656.BJ,20240202,,R
0,300799.SZ,20240131,,R
0,300205.SZ,20240129,,R
0,600647.SH,20240126,,R
1,831396.BJ,20240126,,R
0,300765.SZ,20240125,,R
0,002052.SZ,20240122,,R
0,603955.SH,20240118,,R
1,837403.BJ,20240118,,R
0,603958.SH,20240116,,R
0,600282.SH,20240115,,R
1,600759.SH,20240115,,R
0,873806.BJ,20240111,,R
0,000657.SZ,20240110,,R
0,688337.SH,20240109,,R
0,873690.BJ,20240105,,R
1,000801.SZ,20240105,,R
0,300096.SZ,20240102,,R
0,002021.SZ,20231229,,R
1,002086.SZ,20231229,,R
2,600589.SH,20231229,,R
0,871263.BJ,20231228,,R
0,300010.SZ,20231227,,R
0,000620.SZ,20231226,,R
1,603030.SH,20231226,,R
2,600306.SH,20231226,,R
3,603358.SH,20231226,,R
0,002485.SZ,20231225,,R
1,002682.SZ,20231225,,R
2,600892.SH,20231225,,R
3,002825.SZ,20231225,,R
0,002697.SZ,20231221,,R
1,836961.BJ,20231221,,R
2,600373.SH,20231221,,R
0,000796.SZ,20231220,,R
1,002482.SZ,20231220,,R
0,833284.BJ,20231219,,R
0,000711.SZ,20231218,,R
0,600647.SH,20231214,,R
1,831175.BJ,20231214,,R
2,002989.SZ,20231214,,R
0,002739.SZ,20231213,,R
0,836547.BJ,20231212,,R
0,430198.BJ,20231211,,R
0,000049.SZ,20231208,,R
1,002157.SZ,20231208,,R
0,002510.SZ,20231206,,R
0,873703.BJ,20231205,,R
0,831526.BJ,20231201,,R
1,832171.BJ,20231201,,R
0,835579.BJ,20231130,,R
0,301039.SZ,20231129,,R
0,600647.SH,20231127,,R
1,600290.SH,20231127,,R
0,300697.SZ,20231124,,R
0,873570.BJ,20231123,,R
1,000670.SZ,20231123,,R
0,600766.SH,20231121,,R
1,603920.SH,20231121,,R
0,000863.SZ,20231120,,R
1,603488.SH,20231120,,R
2,000045.SZ,20231120,,R
0,002721.SZ,20231117,,R
0,832522.BJ,20231116,,R
1,873132.BJ,20231116,,R
0,603790.SH,20231113,,R
1,002795.SZ,20231113,,R
0,603816.SH,20231110,,R
1,873679.BJ,20231110,,R
0,600470.SH,20231108,,R
1,873833.BJ,20231108,,R
2,002136.SZ,20231108,,R
0,002692.SZ,20231107,,R
1,600816.SH,20231107,,R
0,002313.SZ,20231103,,R
0,833030.BJ,20231102,,R
0,300210.SZ,20231101,,R
1,839493.BJ,20231101,,R
0,002251.SZ,20231031,,R
1,002277.SZ,20231031,,R
0,831856.BJ,20231030,,R
0,002644.SZ,20231027,,R
1,873693.BJ,20231027,,R
0,300108.SZ,20231025,,R
1,301106.SZ,20231025,,R
0,000410.SZ,20231020,,R
0,000546.SZ,20231019,,R
1,873726.BJ,20231019,,R
2,000628.SZ,20231019,,R
0,603036.SH,20231016,,R
0,832786.BJ,20231013,,R
0,002002.SZ,20231012,,R
0,300313.SZ,20231010,,R
1,300965.SZ,20231010,,R
0,600530.SH,20231009,,R
0,832978.BJ,20230928,,R
0,002800.SZ,20230927,,R
0,873665.BJ,20230926,,R
0,600759.SH,20230922,,R
0,603329.SH,20230921,,R
0,600172.SH,20230918,,R
1,832469.BJ,20230918,,R
0,836419.BJ,20230915,,R
0,603815.SH,20230912,,R
0,831627.BJ,20230907,,R
0,300256.SZ,20230905,,R
1,300338.SZ,20230905,,R
0,603161.SH,20230904,,R
0,870976.BJ,20230901,,R
0,000666.SZ,20230830,,R
0,300757.SZ,20230828,,R
