,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300542.SZ,20240221,8.64,9.33,8.63,9.0,8.83,0.17,1.9253,71323.3,64733.996
1,301105.SZ,20240221,22.57,24.49,22.22,23.57,22.57,1.0,4.4307,6669.11,15754.537
2,301157.SZ,20240221,28.8,30.23,28.31,29.04,28.88,0.16,0.554,11868.44,35012.299
3,301318.SZ,20240221,33.16,35.88,31.99,35.88,29.9,5.98,20.0,118330.92,409193.013
4,301359.SZ,20240221,15.27,16.53,15.2,15.9,15.4,0.5,3.2468,27264.3,43792.695
5,301301.SZ,20240221,8.66,8.8,8.56,8.65,8.68,-0.03,-0.3456,129189.9,112645.014
6,301176.SZ,20240221,9.52,10.2,9.39,9.9,9.51,0.39,4.1009,30503.69,30291.404
7,301083.SZ,20240221,11.26,12.75,11.11,11.72,11.55,0.17,1.4719,109006.32,130015.072
8,301222.SZ,20240221,19.19,20.84,19.19,19.85,19.56,0.29,1.4826,15314.11,30910.569
9,301120.SZ,20240221,7.7,8.2,7.64,7.88,7.77,0.11,1.4157,54431.32,43267.02
10,300902.SZ,20240221,25.3,27.18,24.48,26.17,25.34,0.83,3.2755,16863.5,44233.387
11,301185.SZ,20240221,15.28,16.25,15.07,15.7,15.49,0.21,1.3557,71559.96,112656.416
12,300634.SZ,20240221,16.6,17.4,16.5,16.82,16.89,-0.07,-0.4144,193717.74,328998.681
13,300671.SZ,20240221,22.77,23.93,22.51,23.23,23.15,0.08,0.3456,80028.45,188190.908
14,300315.SZ,20240221,4.7,5.66,4.67,5.15,4.8,0.35,7.2917,3757679.11,1925559.939
15,301079.SZ,20240221,9.89,10.88,9.83,10.39,9.97,0.42,4.2126,34642.19,36164.764
16,300599.SZ,20240221,5.28,5.75,5.15,5.58,5.32,0.26,4.8872,99211.5,54568.993
17,301039.SZ,20240221,8.82,9.35,8.76,9.2,8.88,0.32,3.6036,352035.39,323161.081
18,300661.SZ,20240221,69.27,72.49,68.72,70.62,69.52,1.1,1.5823,26378.01,187561.241
19,300883.SZ,20240221,4.61,4.93,4.6,4.74,4.69,0.05,1.0661,99126.19,47464.58
20,300746.SZ,20240221,6.17,6.61,6.07,6.42,6.2,0.22,3.5484,55435.78,35646.549
21,300710.SZ,20240221,13.44,14.98,13.39,14.7,13.49,1.21,8.9696,30141.54,43233.75
22,301306.SZ,20240221,30.0,35.02,29.18,35.02,29.18,5.84,20.0137,87783.0,280608.38
23,300271.SZ,20240221,5.77,6.08,5.72,5.9,5.85,0.05,0.8547,418834.37,248586.885
24,301192.SZ,20240221,13.29,15.55,12.9,14.58,13.32,1.26,9.4595,51363.31,73307.486
25,301488.SZ,20240221,42.6,45.99,42.28,44.51,43.3,1.21,2.7945,28235.08,126601.745
