,index_code,con_code,in_date,out_date,is_new
0,850111.SI,000713.SZ,19970422,,Y
1,850111.SI,000918.SZ,19990720,20100317,N
2,850111.SI,000998.SZ,20001211,,Y
3,850111.SI,002041.SZ,20050418,,Y
4,850111.SI,300087.SZ,20100603,,Y
5,850111.SI,300189.SZ,20110324,,Y
6,850111.SI,600248.SH,20000622,20070215,N
7,850111.SI,600248.SH,20070226,20070525,N
8,850111.SI,600248.SH,20081230,20100601,N
9,850111.SI,600313.SH,20010119,20100525,N
10,850111.SI,600313.SH,20181226,,Y
11,850111.SI,600354.SH,20070703,,Y
12,850111.SI,600371.SH,20111010,,Y
0,850112.SI,000722.SZ,19970522,20061009,N
1,850112.SI,000829.SZ,19971202,20061009,N
2,850112.SI,002772.SZ,20150703,20211210,N
3,850112.SI,300143.SZ,20101217,20180713,N
4,850112.SI,300511.SZ,20160511,20211210,N
5,850112.SI,300970.SZ,20210419,20211210,N
6,850112.SI,300972.SZ,20210426,20211210,N
7,850112.SI,600251.SH,20030609,20080602,N
8,850112.SI,600506.SH,20011226,20110930,N
9,850112.SI,600598.SH,20111010,20211210,N
10,850112.SI,600762.SH,19961025,20060724,N
11,850112.SI,601952.SH,20170522,20211210,N
0,850113.SI,600108.SH,20111010,,Y
1,850113.SI,600354.SH,20040115,20070702,N
2,850113.SI,600359.SH,19990429,,Y
3,850113.SI,600506.SH,20111010,20220729,N
4,850113.SI,600540.SH,20040107,,Y
5,850113.SI,600598.SH,20020329,20110930,N
6,850113.SI,601118.SH,20110117,,Y
7,850113.SI,603336.SH,20161201,,Y
0,850121.SI,000798.SZ,19980212,20211210,N
1,850121.SI,600097.SH,20100602,20211210,N
0,850122.SI,002069.SZ,20061013,,Y
1,850122.SI,002086.SZ,20061206,20220729,N
2,850122.SI,002173.SZ,20111010,20180713,N
3,850122.SI,002220.SZ,20080307,20090601,N
4,850122.SI,002447.SZ,20100721,20180713,N
5,850122.SI,002696.SZ,20120912,20220729,N
6,850122.SI,300094.SZ,20100716,,Y
7,850122.SI,600242.SH,20001207,20070525,N
8,850122.SI,600242.SH,20090623,20110930,N
9,850122.SI,600257.SH,20000612,,Y
10,850122.SI,600275.SH,20000810,20110930,N
11,850122.SI,600275.SH,20180716,20220524,N
12,850122.SI,600467.SH,20040405,,Y
